date,code,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
11/10/2021,FUESSV50,15:11:02,HOSE,ETF,22.8,24.39,21.21,22.8,22.8,22.7,22.8,22.76,22.8,22.8,22.7,22.8,22.76,7000,159325000,0,0,0,0,0,11/10/2021,Tài chính
11/10/2021,FUCVREIT,15:11:02,HOSE,IFC,10.15,10.85,9.44,10,10.15,10,10.05,10.05,10,10.15,10,10.05,10.05,7200,72345000,0,0,-0.1,-0.1,-0.9852,11/10/2021,Tài chính
11/8/2021,FUCVREIT,15:11:03,HOSE,IFC,10.1,10.8,9.4,10.1,10.1,10,10.1,10.05,10.1,10.1,10,10.1,10.05,8400,84395000,0,0,0,0,0,11/8/2021,Tài chính
11/5/2021,FUESSV50,15:11:11,HOSE,ETF,22.8,24.39,21.21,22.8,23,22.6,22.6,22.97,22.8,23,22.6,22.6,22.97,41700,957670000,0,0,-0.2,-0.2,-0.8772,11/5/2021,Tài chính
11/25/2021,E1VFVN30,15:11:02,HOSE,ETF,26.2,28.03,24.37,26,26.47,26,26.2,26.34,26,26.47,26,26.2,26.34,946800,24939554000,900000,23689000000,0,0,0,11/25/2021,Tài chính
11/30/2021,FUCVREIT,15:11:03,HOSE,IFC,11.8,12.6,11,11.8,12.1,11.3,12.1,11.71,11.8,12.1,11.3,12.1,11.71,38400,449855000,0,0,0.3,0.3,2.5424,11/30/2021,Tài chính
11/25/2021,FUESSV50,15:11:02,HOSE,ETF,23.3,24.93,21.67,23.3,23.5,23.3,23.3,23.35,23.3,23.5,23.3,23.3,23.35,24500,572050000,0,0,0,0,0,11/25/2021,Tài chính
11/25/2021,FUCVREIT,15:11:02,HOSE,IFC,11.7,12.5,10.9,11.7,11.9,11.6,11.65,11.71,11.7,11.9,11.6,11.65,11.71,6200,72595000,0,0,-0.05,-0.05,-0.4274,11/25/2021,Tài chính
11/23/2021,FUCVREIT,15:11:04,HOSE,IFC,11.45,12.25,10.65,10.7,11.5,10.7,11.45,10.99,10.7,11.5,10.7,11.45,10.99,8400,92325000,0,0,0,0,0,11/23/2021,Tài chính
11/18/2021,FUCVREIT,15:11:03,HOSE,IFC,12.8,13.65,11.95,12.3,13.45,12.3,13.2,13.17,12.3,13.45,12.3,13.2,13.17,20000,263460000,0,0,0.4,0.4,3.125,11/18/2021,Tài chính
